"Hotel","Provider","Review_Count","Free_Wifi","Breakfast_Included","Swimming_Pool","Free_Parking","Website","Special_Offer","Restaurant","links","Price_AMD","Price_USD","overall_rating","address"
"North Avenue Hotel","Booking.com",68,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d4619506-Reviews-North_Avenue_Hotel-Yerevan.html",46042,95," 4.5 ","North Ave., 10/1, Yerevan 0010, Armenia"
"Imperial Palace Hotel","Expedia.com",143,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d4886384-Reviews-Imperial_Palace_Hotel-Yerevan.html",37059,77," 4.0 ","Koryun str. 23, Yerevan 0009, Armenia"
"Bridge Hostel Yerevan Armenia","Booking.com",28,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10102032-Reviews-Bridge_Hostel_Yerevan_Armenia-Yerevan.html",10825,22," 5.0 ","41 Khanjyan Street, Yerevan 0001, Armenia"
"Panorama Yerevan Resort","Expedia.com",39,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d5975411-Reviews-Panorama_Yerevan_Resort-Yerevan.html",31424,65," 5.0 ","G.Hovsepyan 24/3 | Nork Marash, Yerevan 375012, Armenia"
"Messier 53 Hotel Yerevan","Booking.com",46,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12311601-Reviews-Messier_53_Hotel_Yerevan-Yerevan.html",48867,101," 5.0 ","Vardanants St.,15/4, Yerevan 0010, Armenia"
"Three Jugs","Booking.com",57,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d2229384-Reviews-Three_Jugs-Yerevan.html",10833,22," 4.5 ","Jrvezh District, 123 | Beginning of H-3 Highway to Garni-Geghard, Yerevan 2227, Armenia"
"Aviatrans","Booking.com",161,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308337-Reviews-Aviatrans-Yerevan.html",30458,63,NA,NA
"Diamond Hotel Yerevan","Expedia.com",80,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6839245-Reviews-Diamond_Hotel_Yerevan-Yerevan.html",49462,102," 4.5 ","Arami str. 86, Yerevan 0002, Armenia"
"Bass Boutique Hotel","Hotels.com",98,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308335-Reviews-Bass_Boutique_Hotel-Yerevan.html",23018,48," 4.0 ","Aygyedzor 3/1, Yerevan 0019, Armenia"
"City Centre Hotel by Picnic","Booking.com",87,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7786379-Reviews-City_Centre_Hotel_by_Picnic-Yerevan.html",22667,47," 4.5 ","Yeznik Koghbatsi 20, Yerevan 0002, Armenia"
"Hotel Regineh","Expedia.com",79,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d1237108-Reviews-Hotel_Regineh-Yerevan.html",18178,38," 4.0 ","Norki Ayginer St, Yerevan 0013, Armenia"
"Silachi Hotel","Booking.com",115,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d2442929-Reviews-Silachi_Hotel-Yerevan.html",25000,52," 4.0 ","20 Tigran Mets Ave, Yerevan 375000, Armenia"
"Primer Hotel","Booking.com",35,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d2214444-Reviews-Primer_Hotel-Yerevan.html",16292,34," 4.5 ","Ulnetsi St., 58, Yerevan 0037, Armenia"
"SD Hotel","Booking.com",48,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3545290-Reviews-SD_Hotel-Yerevan.html",19697,41,NA,NA
"Hotel National","Booking.com",101,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3873711-Reviews-Hotel_National-Yerevan.html",46250,96," 4.0 ","Amiryan str. 4/3, Yerevan 0010, Armenia"
"Daniel Boutique Hotel","Booking.com",17,0,1,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12385925-Reviews-Daniel_Boutique_Hotel-Yerevan.html",19458,40," 5.0 ","Movses Khorenatsi str. 4/3, Yerevan 0015, Armenia"
"Grand Hostel Yerevan","Booking.com",64,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6761410-Reviews-Grand_Hostel_Yerevan-Yerevan.html",10286,21," 4.5 ","Aigestan 10th st., 31, Yerevan 0001, Armenia"
"Planet Hotel","Booking.com",20,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7890784-Reviews-Planet_Hotel-Yerevan.html",15300,32," 5.0 ","Malkhasyan S. 1/9, Yerevan 0051, Armenia"
"Vagary Hostel","Booking.com",18,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10119572-Reviews-Vagary_Hostel-Yerevan.html",8325,17," 5.0 ","Movses Khorenatsi str. 30/72, Yerevan 0018, Armenia"
