"Names","Clubs","GP","GS","MP","FS","FC","YC","RC","OFF","C","CK","PKG","PK"
"Vesga Mikel  M.","ATH",12,11,807,11,15,6,0,0,14,5,0,0
"Portillo ","GET",33,28,2465,30,27,6,0,2,47,9,1,2
"Cartabia Fede  F.","DEP",20,16,1332,47,23,6,0,4,61,16,0,0
"Postigo Sergio  S.","LEV",30,27,2426,15,12,6,0,0,7,0,0,0
"Angel ","GET",33,26,2298,36,48,6,0,32,39,0,0,1
"Mojica Johan  J.","GIR",30,22,2131,48,40,6,0,6,140,1,0,0
"Iturra Manuel  M.","MAG",20,18,1583,20,43,6,0,0,15,4,0,0
"Coke ","LEV",17,16,1385,12,27,6,1,4,46,0,0,0
"Bartra Marc  M.","BET",16,16,1421,16,19,6,0,0,4,0,0,0
"Garcia Kike  K.","EIB",35,28,2464,76,47,5,0,15,23,0,0,0
"Luna Antonio  A.","LEV",23,22,2021,15,21,5,0,3,70,0,0,0
"Aduriz ","ATH",33,21,2149,40,40,5,0,35,27,0,3,5
"De Marcos ","ATH",21,20,1663,10,17,5,0,4,83,0,0,0
"Laporte Aymeric  A.",NA,19,19,1710,18,19,5,0,2,14,0,0,0
"Saborit Enric  E.","ATH",19,16,1429,13,20,5,0,1,45,0,0,0
"San Jose ","ATH",26,24,2156,10,37,5,0,0,17,0,0,0
"Cabral Gustavo  G.","CEL",26,20,1890,4,16,5,0,1,0,0,0,0
"Hernandez Pablo  P.","CEL",30,18,1812,63,51,5,0,8,11,0,0,0
"Albentosa Raul  R.","DEP",20,19,1749,14,15,5,0,1,3,0,0,0
"Borges Celso  C.","DEP",32,26,2306,14,35,5,1,3,21,1,0,0
"Navarro Fernando  F.","DEP",15,11,1042,12,19,5,0,0,15,0,0,0
"Castellano Dani  D.","LP",24,23,2027,30,16,5,0,4,43,0,0,0
"Charles ","EIB",30,18,1580,28,42,5,1,11,10,0,1,1
"Bale Gareth  G.","RMD",26,20,1803,16,25,5,0,13,68,1,1,1
"Bergara Markel  M.","GET",18,18,1469,19,33,5,0,2,6,0,0,0
"Granero Esteban  E.","ESP",25,11,1222,22,18,5,0,1,87,40,0,0
"Bakkali Zakaria  Z.","DEP",23,10,906,19,14,5,0,4,39,11,0,0
"Garay Ezequiel  E.","VAL",24,23,2030,15,21,5,0,1,2,0,0,0
"Bakambu Cedric  C.",NA,15,15,1269,19,41,5,0,11,18,0,1,1
"Rukavina Antonio  A.","VIL",17,14,1269,3,19,5,0,0,30,0,0,0
"Bruno ","GET",20,17,1538,10,18,5,0,2,0,0,0,0
"Correa Joaquin  J.","SEV",21,15,1198,43,26,5,0,5,13,1,0,0
"Correa Angel  A.","ATL",37,27,2262,49,46,5,1,6,57,3,0,0
"Bustinza Unai  U.","LGN",20,18,1636,19,27,5,0,2,18,0,0,0
"Leon Sergio  S.","BET",31,23,1981,38,24,5,0,11,15,2,0,1
"Alejo Ivan  I.","EIB",22,14,1084,45,23,5,0,3,100,2,0,0
"Pedraza Alfonso  A.","ALA",33,27,2441,21,45,5,0,5,98,2,0,0
"Dieguez Adrian  A.","ALA",6,6,436,1,17,5,0,0,2,0,0,0
"Portu ","GIR",37,35,3010,56,53,5,0,24,86,0,0,0
"Molinero ","GET",10,5,575,6,21,5,0,0,14,0,0,0
"Mora Sergio  S.","GET",26,6,799,6,15,5,0,0,6,0,0,0
"Sobrino Ruben  R.","ALA",28,15,1461,32,39,5,0,6,20,1,0,0
"Jimenez Alvaro  A.","GET",13,5,524,25,12,5,1,0,19,0,0,0
"Gonzalez Diego  D.","MAG",18,17,1432,3,27,5,0,1,11,0,0,0
"Boateng Emmanuel  E.","LEV",25,10,1270,38,40,5,0,9,7,0,0,0
"Cabaco Erick  E.","LEV",14,12,1039,11,13,5,0,0,2,0,0,0
