"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Martin Jonas  J.","BET",20,15,1156,2,0,5,10,5,0
"Mandi Aissa  A.","BET",26,25,2217,2,1,9,13,4,0
"Rodriguez Victor  V.","GIJ",25,15,1381,2,1,12,26,1,0
"Borre Santos  S.","VIL",17,2,346,2,1,9,12,0,0
"Gomez Moi  M.","GIJ",26,24,1877,2,5,8,21,5,0
"Llorente Diego  D.","MAG",25,23,2028,2,0,5,11,2,1
"Medran Alvaro  A.","VAL",16,10,949,2,0,4,13,3,0
"Boga Jeremie  J.","GRA",26,14,1453,2,1,9,29,0,0
"Roncaglia Facundo  F.","CEL",32,30,2716,2,0,5,19,9,1
"Sobrino Ruben  R.","ALA",11,5,500,2,1,6,12,1,0
"Feddal Zouhair  Z.","ALA",27,27,2245,2,1,4,10,10,2
"Guilherme ","DEP",30,26,2280,2,1,6,30,6,0
"Ganso ","SEV",10,5,484,2,1,6,11,0,0
"Timor David  D.","LGN",24,22,1881,2,1,5,17,6,1
"Krsticic Nenad  N.","ALA",14,9,747,2,0,2,3,3,0
"Alexis ","ALA",24,19,1816,2,1,2,8,12,1
"Lopez Unai  U.","LGN",23,12,1164,2,0,6,12,2,0
"Pato Alexandre  A.",NA,14,11,881,2,1,13,27,0,0
"Ponce Ezequiel  E.","GRA",25,10,1125,2,0,10,38,5,0
"Mateo ","LP",19,8,724,2,0,3,8,0,0
"Navarro Rafa  R.","BET",18,14,1279,2,2,5,7,4,0
"Nasri Samir  S.","SEV",23,22,1843,2,3,12,25,6,0
"Mangala Eliaquim  E.","VAL",30,30,2646,2,0,7,10,11,1
"Bueno Alberto  A.","LGN",24,8,933,2,3,8,19,1,0
"Navarro Marc  M.","ESP",12,10,789,2,1,3,15,0,0
"Jozabed ","CEL",19,12,1095,2,2,9,17,2,0
"Kakuta Gael  G.","DEP",10,8,542,2,1,4,11,0,0
"Traore Lacina  L.","GIJ",8,5,463,2,0,9,19,2,0
"Steven ","OSA",5,4,429,2,0,2,4,0,0
"Hernandez Luis  L.","MAG",19,19,1679,1,1,3,4,3,0
"Garcia Dani  D.","EIB",36,36,3184,1,1,4,21,9,1
"Luna Antonio  A.","EIB",26,24,2117,1,5,1,4,3,0
"Balenziaga ","ATH",33,33,2851,1,1,1,10,3,1
"Benat ","ATH",32,28,2410,1,5,12,35,9,0
"De Marcos ","ATH",27,24,2149,1,4,3,10,3,0
