"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Layún Miguel ","SEV",16,11,1181,2,0,5,22,4,0
"Escalante Gonzalo ","EIB",28,16,1561,1,0,6,24,3,0
"Gálvez Alejandro ","LP",22,22,1979,1,0,5,18,6,1
"Peña Rubén ","EIB",28,18,1727,1,0,2,12,1,0
"Granell Àlex  À.","GIR",34,33,2853,1,7,9,44,11,0
"Alexis ","ALA",28,25,2184,1,0,3,12,6,0
"Camarasa Víctor ","BET",24,14,1253,1,0,4,21,2,0
"Ely Rodrigo ","ALA",31,30,2692,1,0,4,16,12,1
"De Marcos ","ATH",21,20,1663,1,3,7,13,5,0
"Etxeita ","ATH",5,5,377,1,0,1,4,2,0
"San José ","ATH",26,24,2156,1,1,5,20,5,0
"Busquets Sergio ","BAR",31,30,2600,1,4,4,5,8,0
"Deulofeu Gerard ",NA,10,5,503,1,1,4,8,1,0
"Iniesta Andrés ","BAR",30,25,1842,1,2,6,16,1,0
"Rakitic Ivan ","BAR",35,31,2838,1,5,11,28,4,0
"Roberto Sergi ","BAR",30,24,2224,1,7,5,9,3,2
"Umtiti Samuel ","BAR",25,24,2189,1,0,5,9,7,0
"Vidal Aleix ","BAR",15,4,453,1,1,6,8,0,0
"Cabral Gustavo ","CEL",26,20,1890,1,1,2,10,5,0
"Gómez Sergi ","CEL",33,31,2682,1,0,2,15,3,0
"López David ","ESP",37,37,3330,1,1,6,14,7,0
"Navarro Marc ","ESP",19,10,1105,1,0,5,20,3,0
"Albentosa Raúl ","DEP",20,19,1749,1,0,2,11,5,0
"Fajr Fayçal ","GET",31,26,2383,1,4,10,22,7,0
"Luisinho ","DEP",30,29,2622,1,1,4,16,11,0
"Sidnei ","DEP",21,21,1779,1,1,2,8,4,0
"Çolak Emre ","DEP",26,17,1452,1,1,8,17,4,0
"Expósito Erik ","LP",10,4,462,1,0,2,9,0,0
"García David ","LP",11,9,859,1,0,3,5,2,0
"Tana ","LP",24,16,1553,1,1,6,14,2,0
"Recio ","MAG",22,21,1841,1,2,4,26,11,1
"Rosales Roberto ","MAG",35,35,3125,1,0,6,18,10,0
"Modric Luka ","RMD",26,23,1976,1,6,9,35,3,0
"Bautista Jon ","RSO",11,1,172,1,0,3,6,0,0
"Granero Esteban ","ESP",25,11,1222,1,3,2,13,5,0
"Martínez Iñigo ","ATH",28,28,2496,1,1,6,21,6,0
"Rodrigues Kevin ","RSO",20,18,1633,1,2,3,15,2,0
"Vela Carlos ",NA,13,2,373,1,0,4,11,0,0
"Zaldúa Joseba ","LGN",30,29,2561,1,0,3,11,9,1
"Zubeldia Igor ","RSO",25,16,1578,1,2,3,20,3,0
"Soler Carlos ","VAL",33,27,2374,1,5,17,45,4,0
"Vidal Nacho ","VAL",7,5,446,1,0,2,3,1,0
"Rodri ","VIL",37,36,3228,1,3,10,31,8,0
"Castro Rubén ","BET",10,3,354,1,1,5,9,0,0
"Mandi Aïssa ","BET",34,34,3025,1,0,2,14,9,1
"Correa Joaquín ","SEV",21,15,1198,1,1,6,24,5,0
"Krohn-Dehli Michael ","DEP",24,15,1266,1,1,3,13,2,0
"N'Zonzi Steven ","SEV",27,26,2215,1,2,5,22,2,0
"Filipe Luis ","ATL",20,19,1660,1,2,2,5,4,0
"Giménez José María ","ATL",23,17,1684,1,1,2,12,6,0
"Mantovani ","LGN",14,10,1019,1,0,1,5,3,0
"Siovas Dimitrios ","LGN",24,24,2061,1,1,2,16,10,1
"Chema ","LEV",25,23,2017,1,1,3,7,8,1
"Vesga Mikel ","ATH",12,11,807,1,1,4,7,6,0
"Alejo Iván ","EIB",22,14,1084,1,3,4,13,5,0
"Baysse Paul ",NA,15,13,1238,1,0,2,11,1,0
"Burgui ","ALA",23,12,1034,1,0,4,15,1,0
"Campaña José ","LEV",35,33,2742,1,4,8,23,10,1
"Jason ","LEV",27,22,1792,1,2,10,33,2,0
"Postigo Sergio ","LEV",30,27,2426,1,0,2,6,6,0
"Alcalá Pedro ","GIR",8,8,690,1,0,3,8,4,0
"Suárez Damián ","GET",33,33,2878,1,4,5,10,14,1
"Pizarro Guido ","SEV",24,19,1754,1,0,4,13,9,0
"Córdoba Iñigo ","ATH",30,18,1457,1,1,4,18,3,0
"Núñez Unai ","ATH",33,33,2942,1,0,2,19,11,0
"Jiménez Álvaro ","GET",13,5,524,1,1,3,9,5,1
"Gumbau Gerard ","LGN",25,16,1431,1,0,6,17,8,0
"Hermoso Mario ","ESP",22,22,1929,1,0,4,10,7,1
"Fernández Carlos ","SEV",2,2,139,1,0,2,5,0,0
"Shibasaki Gaku ","GET",22,12,1003,1,0,2,10,2,0
"Djené ","GET",36,36,3239,1,0,2,11,9,0
"Navas Jesús ","SEV",26,20,1762,1,0,5,21,2,0
"García Aleix ","GIR",20,7,843,1,0,3,12,3,0
"González Diego ","MAG",18,17,1432,1,0,2,13,5,0
"Doukouré Cheick ","LEV",19,12,1020,1,0,1,18,4,0
"Pina ","ALA",30,28,2392,1,0,3,13,8,0
"Arambarri Mauro ","GET",27,26,2135,1,2,3,21,10,1
"García Javi ","BET",32,27,2410,1,0,1,11,7,0
"Olivera Mathías ","GET",3,1,102,1,0,1,1,0,0
"Francis ","BET",14,10,991,1,0,1,4,2,0
"Méndez Brais ","CEL",20,12,949,1,1,9,22,0,0
"Mor Emre ","CEL",23,4,650,1,2,5,12,4,0
"Darder Sergi ","ESP",35,32,2788,1,2,7,29,7,0
"Pereira Andreas ","VAL",23,12,1076,1,3,6,14,5,0
"Naranjo ","LGN",16,6,561,1,0,3,9,2,0
"Lombán David ","EIB",13,11,996,1,0,1,4,3,0
"Demirovic Ermedin ","ALA",3,2,181,1,1,3,6,0,0
"Martínez Roger ","VIL",8,2,226,1,0,3,11,1,0
"Coquelin Francis ","VAL",9,7,656,1,0,3,4,2,0
"Ideye Brown ","MAG",13,8,731,1,0,3,10,2,0
"Lozano Choco ","GIR",14,4,465,1,0,7,17,0,0
"Bartra Marc ","BET",16,16,1421,1,0,4,12,6,0
"Pazzini Giampaolo ","LEV",9,5,444,1,0,4,10,1,0
"Rochina Rubén ","LEV",5,1,148,1,0,1,7,0,1
"Moreno Héctor ","RSO",8,8,720,1,0,4,8,1,0
"Bebé ",NA,9,3,361,0,1,1,9,0,0
"Capa ","EIB",33,25,2247,0,1,1,6,4,0
"Dos Santos Mauro ","LGN",14,10,981,0,0,2,2,3,0
