"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Gabi ","ATL",34,25,2346,0,1,1,10,8,0
"Gaitan Nico  N.",NA,6,1,216,0,0,3,6,0,0
"Godin Diego  D.","ATL",30,28,2554,0,0,4,13,6,0
"Juanfran ","ATL",17,15,1308,0,1,0,3,3,0
"Lucas ",NA,15,13,1182,0,1,0,2,3,0
"Moya Toni  T.","ATL",1,0,2,0,0,0,0,0,0
"Moya ","RSO",9,9,765,0,0,0,0,0,0
"Oblak Jan  J.","ATL",37,37,3330,0,0,0,0,1,0
"Savic Stefan  S.","ATL",27,26,2299,0,0,1,3,6,0
"Vrsaljko Sime  S.","ATL",21,19,1697,0,4,0,3,7,0
"Arribas Sergio  S.","LGN",1,0,22,0,0,0,0,0,0
"Bueno Alberto  A.","MAG",11,1,217,0,0,2,6,0,0
"Champagne Nereo  N.","LGN",2,2,180,0,0,0,0,0,0
"Garcia Samu  S.","MAG",18,4,358,0,1,1,4,2,1
"Herrerin Iago  I.","ATH",8,8,720,0,0,0,0,0,0
"Marin Adrian  A.","VIL",3,2,233,0,0,0,1,1,0
"Moran Erik  E.",NA,6,2,225,0,0,0,0,2,0
"Mozo Alex  A.","LGN",1,0,45,0,0,0,0,0,0
"Omar ","LGN",23,18,1457,0,1,2,9,3,0
"Perez Ruben  R.","LGN",31,29,2520,0,0,1,17,13,0
"Serantes Jon Ander  J.","LGN",1,1,90,0,0,0,0,0,0
"Tito ","LGN",9,6,607,0,0,0,1,0,0
"Koke ","LEV",1,1,90,0,0,0,0,0,1
"Moore Shaq  S.","LEV",6,5,424,0,0,2,3,0,0
"Hernandez Hector  H.","ALA",1,0,15,0,0,0,0,0,0
"Lopez Pau  P.","ESP",29,28,2566,0,0,0,0,3,0
"Aketxe Ager  A.",NA,3,0,34,0,0,0,2,1,0
"Samper Sergi  S.",NA,2,2,145,0,0,0,0,0,0
"Pacheco Dani  D.","GET",11,0,165,0,0,0,1,0,0
"Valverde Fede  F.","DEP",24,12,1229,0,0,4,18,0,0
"Dmitrovic Marko  M.","EIB",36,36,3240,0,0,0,0,1,0
"Chichizola Leandro  L.","LP",27,27,2430,0,0,0,0,2,0
"Navarro Ximo  X.",NA,12,10,941,0,1,1,2,3,0
"Semedo Ruben  R.","VIL",4,3,231,0,0,0,1,0,0
"Olazabal Oier  O.","LEV",26,26,2340,0,0,0,0,2,0
"Werner Axel  A.","ATL",1,1,90,0,0,0,0,0,0
"Martinez Ruben  R.","DEP",28,27,2477,0,0,0,0,3,0
"Rober ","LEV",25,19,1904,0,0,1,8,4,0
"Araujo Sergio  S.",NA,2,0,37,0,0,0,2,0,0
"Vallejo Jesus  J.","RMD",7,7,630,0,0,0,0,0,0
"Cifuentes ",NA,2,1,107,0,0,0,0,0,0
"Maksimovic Nemanja  N.","VAL",15,6,551,0,0,2,7,1,0
"Vezo Ruben  R.","VAL",19,17,1554,0,0,1,3,3,1
"N'Diaye Alfred  A.",NA,2,1,100,0,0,0,0,0,0
"Dieguez Adrian  A.","ALA",6,6,436,0,0,0,3,5,0
"Guaita ","GET",33,33,2970,0,0,0,0,1,0
"Fernandez Raul  R.","LEV",11,11,990,0,0,0,0,0,0
"Lerma Jefferson  J.","LEV",26,25,2137,0,1,2,27,16,0
"Lopez Ivan  I.","LEV",3,3,175,0,1,0,1,0,0
"Lopez Pedro  P.","LEV",21,18,1596,0,0,0,3,4,0
"Tono ","LEV",12,12,1080,0,1,1,2,2,0
"Bounou Yassine  Y.","GIR",30,30,2655,0,0,0,0,2,0
"Ramalho Jonas  J.","GIR",26,25,2297,0,0,1,7,3,0
"Cuellar Ivan  I.","LGN",35,35,3150,0,0,0,0,4,0
"Lacen Mehdi  M.","MAG",19,12,1123,0,0,1,7,3,0
"Molinero ","GET",10,5,575,0,0,0,4,5,0
"Mora Sergio  S.","GET",26,6,799,0,0,0,6,5,0
"Barragan Antonio  A.","BET",29,28,2377,0,7,4,9,7,0
"Amat Jordi  J.","BET",25,24,2051,0,0,1,7,8,2
"Neto ","VAL",33,33,2970,0,0,0,1,2,0
"Espinosa Bernardo  B.","GIR",34,32,2868,0,3,4,25,7,0
"Maripan Guillermo  G.","ALA",19,17,1527,0,0,1,4,4,0
"Toledo Hernan  H.","LP",15,6,617,0,1,1,3,2,0
"Valentin Gerard  G.","DEP",3,2,158,0,0,0,2,0,0
"Corchia Sebastien  S.","SEV",12,9,823,0,1,3,5,4,0
"Semedo Nelson  N.","BAR",24,17,1495,0,0,2,3,1,0
"Lobotka Stanislav  S.","CEL",38,34,3061,0,0,2,8,2,0
"Oliveira Paulo  P.","EIB",26,25,2215,0,0,4,14,3,0
"Wakaso Mubarak  M.","ALA",21,12,1097,0,1,0,10,7,0
"Uzoho Francis  F.","DEP",2,2,180,0,0,0,0,0,0
"Herrera Borja  B.",NA,3,3,242,0,0,0,1,0,0
"Gonzalez Fabio  F.","LP",1,1,65,0,0,0,0,1,0
"Soni Kevin  K.","GIR",2,0,17,0,0,0,0,0,0
"Antunes ","GET",34,31,2797,0,2,3,30,14,0
"Cecchini Emanuel  E.",NA,2,0,29,0,0,0,1,2,0
"De la Bella Alberto  A.","RSO",17,17,1529,0,1,1,5,4,0
"Maffeo Pablo  P.","GIR",33,32,2650,0,1,6,25,11,0
"Douglas Luiz ","GIR",15,1,295,0,0,5,10,4,0
"Moreno Marlos  M.",NA,2,0,28,0,0,0,0,0,0
"Martinez Emi  E.","GET",5,5,450,0,0,0,0,0,0
"Munoz Ezequiel  E.","LGN",19,17,1407,0,1,2,5,2,0
"Naldo ","ESP",11,10,922,0,0,0,1,2,0
"Muniesa Marc  M.","GIR",13,13,1129,0,1,1,2,3,0
"Lukic Sasa  S.","LEV",16,12,996,0,1,1,2,4,0
"Kayode Olarenwaju  O.","GIR",12,2,375,0,1,3,7,2,0
"Mojica Johan  J.","GIR",30,22,2131,0,4,2,22,6,0
"Murillo Jeison  J.","VAL",17,15,1374,0,0,0,2,4,0
"Paulista Gabriel  G.","VAL",30,29,2584,0,0,4,16,7,1
"Navarro Ximo  X.","LP",31,29,2606,0,1,1,3,11,0
"Lasso Borja  B.",NA,1,1,54,0,0,0,0,0,0
"Narvaez Juan Jose  J.",NA,7,4,304,0,0,0,3,0,0
"Chuca ","VIL",4,1,86,0,0,0,3,1,0
"Aquilani Alberto  A.","LP",21,15,1298,0,0,4,12,4,0
"Rolon Esteban  E.","MAG",8,6,421,0,0,1,4,1,0
"Vila Didac  D.","ESP",14,7,725,0,0,3,10,3,0
"Krkic Bojan  B.","ALA",13,4,436,0,0,4,5,0,0
"Carole Lionel  L.",NA,6,6,540,0,1,1,3,0,0
"Cabaco Erick  E.","LEV",14,12,1039,0,0,2,2,5,0
"Tannane Oussama  O.",NA,10,7,574,0,0,5,13,1,0
"Sanchez Sergio  S.","ESP",2,1,102,0,0,0,1,1,0
"Pantilimon Costel  C.",NA,6,6,540,0,0,0,0,0,0
"Geis Johannes  J.","SEV",14,7,670,0,1,1,6,0,0
"Montero Jefferson  J.",NA,4,0,55,0,0,0,0,0,0
"Gorosabel Andoni  A.","RSO",2,1,76,0,0,0,0,0,0
"Gracia Julio  J.","BET",2,0,21,0,0,0,1,0,0
"Barri ","GET",2,1,112,0,0,1,1,0,0
"Calderon Carlos  C.","GET",1,0,3,0,0,0,0,0,0
"Robles Alex  A.","MAG",1,1,90,0,0,0,0,0,0
"Hacen ","LEV",2,1,82,0,0,0,0,0,0
"Torres Ferran  F.","VAL",13,2,302,0,1,2,3,0,0
"Ruibal Aitor  A.",NA,2,0,7,0,0,0,0,0,0
"Miquel Ignasi  I.","MAG",20,20,1775,0,0,2,10,5,1
"Lopez Victor  V.","ALA",1,1,61,0,1,0,1,0,0
"Jairo ","LP",11,6,558,0,0,1,9,1,0
"Penalba Gabriel  G.","LP",7,7,572,0,0,0,5,3,0
"Iturra Manuel  M.","MAG",20,18,1583,0,0,1,2,6,0
"Arana Guilherme  G.","SEV",3,2,192,0,0,0,0,0,0
"Mazan Robert  R.","CEL",2,1,82,0,0,1,2,0,0
"Arnaiz Jose  J.",NA,1,0,5,0,0,0,0,0,0
"One Aldo  A.","DEP",1,1,90,0,0,0,0,0,0
"Mina Yerry  Y.","BAR",5,4,370,0,1,1,3,2,0
"Ndockyt Merveil  M.","GET",6,0,62,0,0,0,0,1,0
"Cabrera Leandro  L.","GET",9,8,720,0,0,1,2,3,0
"Aldawsari Salem  S.","VIL",1,0,33,0,0,0,0,1,0
"Almuwallad Fahad  F.",NA,2,0,25,0,0,0,0,0,0
"Koval Maksym  M.","DEP",2,2,122,0,0,0,0,0,1
"Aguirregaray Matias  M.","LP",15,14,1155,0,0,0,9,3,0
"Sierra Jaime  J.","LGN",2,0,26,0,0,0,0,0,0
"Etebo Oghenekaro  O.","LP",14,14,1215,0,1,3,20,3,0
"Success Isaac  I.","MAG",9,7,496,0,1,1,8,0,0
"Sadiku Armando  A.","LEV",6,4,267,0,0,2,5,1,0
"Lestienne Maxime  M.","MAG",12,8,671,0,1,1,10,1,0
"Boye Lucas  L.","CEL",13,2,267,0,0,2,8,2,0
"Sanchez Carlos  C.","ESP",14,13,1123,0,0,0,4,3,0
"Flamini Mathieu  M.","GET",8,6,482,0,0,1,1,3,1
"Hernandez Lucas  L.","ATL",27,24,2116,0,1,1,6,8,1
"Ezekiel Imoh  I.","LP",10,5,468,0,0,4,7,0,0
"Muntari Sulley  S.","DEP",8,6,408,0,0,1,4,3,0
"Duro Hugo  H.","GET",2,0,18,0,0,1,1,0,0
"Carlos Isaac ","ATL",1,1,64,0,0,0,1,1,0
"Regis Francesc  F.","EIB",1,0,1,0,0,0,0,0,0
"Aly ","LEV",1,1,78,0,0,0,0,0,0
"Rodriguez Ivan  I.","MAG",1,0,19,0,0,0,0,1,0
"Molina Dani  D.","CEL",1,0,4,0,0,0,0,0,0
"Sane Arona  A.","ATL",1,0,64,0,0,1,1,0,0
"Redondo Alberto  A.","GET",1,1,90,0,0,0,0,0,0
"Rubio Miguel Angel  M.","GET",1,0,28,0,0,0,0,0,0
"Alba David  D.","GET",1,1,62,0,0,0,0,0,0
"Mujaid ","DEP",2,1,105,0,0,0,0,0,0
"Lopez Alberto  A.","MAG",1,0,45,0,0,0,0,0,0
"Cruz Juan  J.","MAG",1,0,6,0,0,0,0,0,0
"Lara Jose  J.","SEV",1,0,9,0,0,0,0,0,0
"Almuwallad Fahad  F.","LEV",2,0,25,0,0,0,0,0,0
