"X","Reviews"
143,"I will never understand why they got rid of Colin Farrell in Fantastic Beasts. Like never ever."
144,"<U+0001F4F7> Johnny Depp as Grindelwald in Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con... "
145,"<U+0001F4F7> Johnny Depp as Grindelwald in Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con... "
146,"<U+0001F4F7> Johnny Depp as Grindelwald in Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con... "
147,"Brand new  posters revealed by  after an amazing  panel and epic   trailer release!  "
148,"""I'm an alchemist, and therefore immortal..."" Welcome Nicolas Flamel to the film series - we almost didn't recognise !       "
149,"Our exclusive coverage of the   segment at the  _Con panel today includes details on the surround-screen room, Jude Law's comments about playing Dumbledore, Grindelwald's appearance &amp; more:   "
150,"""The fate of one""... Who could be in trouble in the  series?  is way darker than the first movie: what are your predictions after the official trailer release?   "
151,"i feel like the only person who actually enjoyed fantastic beasts/likes the characters (obviously besides j*hnny d*pp)"
152,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
153,"New post: (Wand-waving Johnny Depp appears as 'Fantastic Beasts' character) - SAN DIEGO (Reuters) – Actor Johnny Depp gave Harry Potter fans a look at his coming portrayal of the pale and disheveled villain... -  - "
154,"Yikes. Bad move, Fantastic Beasts..... wow."
155,"I liked a  video  Grindelwald (Johnny Depp) Casts Spell on Hall H  Comic-Con 2018 Fantastic Beasts"
156,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con International"
157,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald Comic-Con Trailer (2018) | Movieclips"
158,"New Fantastic Beasts 2 Trailer Explores the Unseen Side of Harry Potter "
159,"Fantastic Beasts: The Crimes Of Grindelwald - 2018  Official Trailer &amp; Movie Poster  "
160,"Fantastic Beasts: The Crimes Of Grindelwald - 2018 SDCC Official Trailer &amp; Movie Poster  "
161,"__Smith  Kind of reminds me of Percival Graves from Fantastic Beasts!"
162,"Harry Potter series: The wizarding world has a rich history that goes back several hundred years.

Fantastic Beasts series: Everything you ever heard of in Harry Potter happened about 70 years before the Harry Potter series."
163," Hands down Fantastic beasts! Amazing trailer"
164,"Finally getting a moment for pause, thoughts:

Fantastic Beasts 2 looks interesting... but Depp <U+0001F62C>
Godzilla's plot is dumb but everything else is fantastic <U+0001F60D>
Shazam is everything we've been promised <U+0001F602>
Aquaman accidentally released an unfinished trailer <U+0001F613>"
165,"Wand-waving Johnny Depp appears as ‘Fantastic Beasts’ character  "
166,"_rowling are those new robes in the Fantastic Beasts trailer?"
167,"Jude Law meets fans at Comic Con before Fantastic Beasts 2 panel  "
168,"Second Fantastic Beasts: The Crimes Of Grindelwald trailer released  "
169,"Hype levels
Shazam 10/10
Aquaman 9.5/10
Fantastic Beasts 2 9.5/10

It’s good day fellas"
170,"""Fantastic Beasts"" panel gets political at Comic-Con: 'Impeach Trump!'  via "
171,"'Fantastic Beasts 2' Brings Magical Trailer and Johnny Depp to Comic-Con  via "
172,"The new Fantastic Beasts trailer implies that Dumbledore taught DADA rather than Transfiguration and I'm STRESSED"
173,"Hey  I can see that I can stream the Harry Potter films on SYFY app but for some reason Fantastic Beasts is no where to be found. Is this normal?"
174,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
175,"I added a video to a  playlist  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con"
176,"it scares me so much to think that there are kids out there who have seen fantastic beasts but haven't even seen a second of harry potter.... YES THEY EXIST I KNOW SOME"
177,"Dumbledore from Fantastic Beasts... "
178,"Eddie What’s-His-Nose from Fantastic Beasts... "
179,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald Comic-Con Trailer (2018) | Movieclips"
180,"Hey everyone! Ruby Games is back and we are currently working on a game based on, ""Fantastic Beasts"" &amp; ""Harry Potter"" known as The Fantastic World of Wizards. Follow for updates!  "
181," Shazam
 Godzilla
 Fantastic Beasts 
 Aquaman!"
182,"MAJOR plot hole in Fantastic Beasts 2: 

if you were Wizard Hitler, and your go-to move was seducing gay wizards into loyalty, and you had the ability to take the form of peak Colin Farrell in a badass coat, why would you take the form of albino Johnny Depp?"
183,"Yeah, yall got anymore of them Fantastic Beasts II trailers? "
184,"So the new Fantastic Beasts trailer comes out and there's a scene where Newt says his biggest fear is to spend his life working behind a desk and earlier tonight my friend (a Hufflepuff) said her biggest fear is to spend her life behind a desk and not traveling 

Coincidence? "
185,"SDCC 2018: Fantastic Beasts: The Crimes of Grindelwald Trailer  "
186,"SDCC 2018: Fantastic Beasts: The Crimes of Grindelwald Trailer
 "
187,"Johnny Depp Makes Surprise Comic-Con Appearance After Fantastic Beasts Controversy  "
188,"OMG OMG OMG MY INNER NERD IS SCREAMING OMG OMG OMG 
Fantastic Beasts: The Crimes of Grindelwald Comic-Con Trailer (2018) | M...  via "
189,"  I agree with Caden on this one. Fantastic Beasts is also pulling in a lot of backstory you couldn’t get with the OG series. I wouldn’t and couldn’t give up either one"
190,"Los trailers de fantastic beasts y de Glass me emocionan"
191,"I need an updated geek calendar.

My next movie is Fantastic Beasts in Nov! Isn't there anything before then?

Help me . You're my only hope."
192," _rowling My daughter and I just watched fantastic beasts with my son. This being his first time watching it. He enjoyed it thoroughly. We can’t wait for the second part. Loved the trailer. We’re excited about it. Thank you JK!"
193,"fave movie? — oof.. harry Potter and Fantastic beasts! - thank u for asking ily &lt;3 "
194,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
195,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
196,"   Central : : The Crimes of  - Trai... "
197,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
198,"Fantastic Beasts: The Crimes Of Grindelwald - 2018 SDCC Official Trailer &amp; Movie Poster  "
199,"SHAZAM
AQUAMAN
WW84
FANTASTIC BEASTS "
200,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
201,"I have zero interest in the Fantastic Beasts Films, but I’m intrigued as Hell at Brontis Jodorowsky playing Nicolas Flamel."
202,"If I don't see some fire magic in this fantastic beasts eh."
203,"I liked a  video  FANTASTIC BEASTS 2 Trailer 2 Espanol (2018)"
204,"i dont think you guys understand that fantastic beasts is ruining me because fuck johnny depp until i die but jude law has been a fancast for remus lupin for me for years and seeing him in the hp world makes me want to die"
205,"i should be excited about fantastic beasts but i am really not. like not in the slightest"
206,"Watched some trailers that came out today.
SHAZAM! - looks great
Godzilla - looks beautiful, could be good could be terrible
Fantastic Beasts - looks ok, first one was all flash no substance
Aquaman - looks really bad, hope it's not"
207,"Fantastic Beasts looks amazing."
208,"[Wizarding World] Official Comic-Con Trailer of Fantastic Beasts: The Crimes of Grindelwald "
209,"Fantastic Beasts panel  SDCC 2018 "
210,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
211,"The first Fantastic Beasts far exceeded my expectations; I cannot wait until Crimes of Grindewald comes out!!! "
212,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
213,"""Fantastic Beasts"" panel gets political at Comic-Con: 'Impeach Trump!'  via "
214,"i stan THIS fantastic beasts cast "
215,"Just saw a tweet on my feed that was speaking positively about the Fantastic Beasts trailer at SDCC (and specifically of D*pp) 

Turns out it was a promoted tweet. No one had to be unfollowed this day."
216,"  If I’m being perfectly candid, im nearing the end of a re read of the books (first one in years), just watched Fantastic Beasts, and haven’t seen the other HP films in a while. It’s possible I’m simply out of touch."
217," I LOVE Harry Potter. More than your average person. But Fantastic Beasts is WONDERFUL."
218,"Unpopular Opinion: Fantastic Beasts and Where To Find Them is better than every Harry Potter film."
219,"  I think my biggest complaint about the HP films (I still love them) is that none of them feel like the actual true stories. Maybe my imagination is just simply wild and wasn’t matched by the films but they never felt captured. And Fantastic Beasts felt fresh and new and exiting"
220,"""Wand-Waving Johnny Depp Appears as 'Fantastic Beasts' Character"" by REUTERS via NYT "
221,"the fact that ezra miller woke up today and was like i’m gonna be a sexy toadette during the fantastic beasts panel just brings me so much joy "
222,"My thoughts on the Comic-Con trailers.

Fantastic Beasts: Didn’t watch, don’t give a shit. Fuck Johnny Depp.
Godzilla: <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>
Shazam!: Surprisingly promising.
Aquaman: Eh, whatever.
Glass: Cool, but I’m not caught up."
