"Names","Clubs","GP","GS","MP","TT","P","INT","BLK","GMB","TKL","OFF","C","CK"
"Rico Mikel  M.","ATH",17,13,1170,1326,435,14,27,0,12,0,11,1
"Lopez Pau  P.","ESP",29,28,2566,1318,284,3,0,0,0,0,0,0
"Sanchez Carlos  C.","ESP",14,13,1123,1308,462,27,14,0,20,0,2,0
"Gumbau Gerard  G.","LGN",25,16,1431,1280,415,13,36,0,16,1,6,1
"Laguardia ","ALA",17,17,1530,1273,359,28,35,0,13,0,4,0
"Bonera Daniele  D.","VIL",15,14,1190,1268,477,26,20,0,11,0,0,0
"En-Nesyri Youseff  Y.","MAG",25,16,1592,1264,179,10,11,0,16,15,22,0
"Navarro Ximo  X.",NA,12,10,941,1260,414,7,25,0,16,0,6,0
"Gonzalez Diego  D.","MAG",18,17,1432,1260,409,33,41,0,14,1,11,0
"Boveda Eneko  E.","DEP",14,13,1191,1254,406,27,29,0,19,1,28,0
"Costa Diego  D.","ATL",15,13,1048,1250,241,11,7,0,9,19,9,0
"Digne Lucas  L.","BAR",12,8,702,1248,475,9,13,0,17,2,17,0
"Navarro Marc  M.","ESP",19,10,1105,1248,407,26,21,0,10,0,65,0
"Ricca Federico  F.","MAG",14,13,1111,1244,412,27,22,0,35,0,31,0
"Neto ","VAL",33,33,2970,1244,314,0,0,0,0,0,1,0
"Keko ","MAG",21,15,1217,1239,268,10,30,0,21,6,41,0
"Hakimi Achraf  A.","RMD",9,8,757,1233,399,9,16,0,8,1,30,0
"Maripan Guillermo  G.","ALA",19,17,1527,1231,338,39,38,0,18,0,2,0
"Olazabal Oier  O.","LEV",26,26,2340,1223,225,6,1,0,0,0,0,0
"Navas Keylor  K.","RMD",27,27,2430,1219,460,2,0,0,0,0,0,0
"Garcia Aleix  A.","GIR",20,7,843,1213,446,21,13,0,12,0,37,30
"Juanmi ","RSO",30,18,1490,1208,290,1,19,0,19,15,10,0
"Torres Daniel  D.","ALA",18,14,1218,1206,399,42,12,0,7,0,4,0
"Burgui ","ALA",23,12,1034,1204,267,12,5,0,6,6,25,2
"Moreno Hector  H.","RSO",8,8,720,1198,419,3,15,0,4,1,3,0
"Andone Florin  F.","DEP",29,16,1630,1193,175,4,8,0,4,18,25,0
"Ceballos Dani  D.","RMD",12,4,397,1192,345,5,4,0,5,0,5,4
"Brasanac Darko  D.","LGN",23,13,1201,1191,313,18,25,0,23,3,14,2
"Lacen Mehdi  M.","MAG",19,12,1123,1183,429,18,6,0,23,0,9,0
"Diop Pape  P.","EIB",20,15,1206,1178,401,39,20,0,19,0,5,0
"Momo ","LP",13,8,674,1178,296,2,5,0,9,3,40,11
"Pedro Leon ","EIB",12,10,929,1177,231,4,27,0,7,3,146,68
"Mendez Brais  B.","CEL",20,12,949,1177,349,6,11,0,5,3,31,6
"Rukavina Antonio  A.","VIL",17,14,1269,1172,489,21,28,0,17,0,30,0
"Penaranda Adalberto  A.","MAG",13,11,807,1169,193,4,6,0,7,3,4,0
"Baysse Paul  P.",NA,15,13,1238,1163,421,32,23,0,7,4,1,0
"Gil Nacho  N.","LP",20,10,958,1161,276,10,17,0,5,2,48,34
"Simon David  D.","LP",11,6,718,1159,413,4,21,0,16,1,34,0
"Munoz Ezequiel  E.","LGN",19,17,1407,1158,377,24,34,0,26,2,2,0
"Mascherano Javier  J.",NA,7,6,541,1149,400,15,15,0,10,0,0,0
"Navarro Fernando  F.","DEP",15,11,1042,1147,403,13,27,0,21,0,15,0
"Llorente Marcos  M.","RMD",13,5,540,1143,392,8,7,0,11,0,1,0
"Cheryshev Denis  D.","VIL",24,9,920,1137,227,7,17,0,15,5,42,0
"Alvarez Sergio  S.","CEL",17,16,1475,1136,325,5,0,0,1,0,1,0
"Martinez Ruben  R.","DEP",28,27,2477,1124,272,1,1,0,0,0,0,0
"Yeray ","ATH",8,7,675,1116,370,7,15,0,8,0,3,0
